title,car_model_name,car_color,car_mileage,location,date,price,image
مرسيدس C 180 2022,C 180,فيراني,"27,000 كم",الإسكندرية,2024-05-20,"3,350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/15/6469186/medium_up_c7d8880de541b65e280257472db74ad1.jpg
مرسيدس E 200 AMG 2024,E 200 AMG,أسود,0 كم,الفيوم,2024-05-20,"4,020,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/15/6469009/medium_up_faab8604b3c83f72c122b17770bcf990.jpg
مرسيدس SEL 280 1986,SEL 280,احمر غامق,- كم,العبور,2024-05-20,"350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/30/6376460/medium_up_4c8ea8fe2eb7c90961f6fc0e1199346b.jpg
مرسيدس C 180 2009,C 180,برونزي,"185,000 كم",مصر الجديدة,2024-05-20,"1,060,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/16/6287187/medium_up_39a6e726c5d84f3e49fb35e42de74f45.jpg
مرسيدس C 200 2022,C 200,رمادي,"23,000 كم",مصر الجديدة,2024-05-20,"3,800,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/29/6316043/medium_up_0625c43531e8fd68f4f300473c82a13e.jpg
مرسيدس GLS 2023,GLS,فضي,"7,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"8,250,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6462649/medium_up_473f38b53b6599b197e27494ce62a20d.jpg
مرسيدس C 180 2024,C 180,ذهبي,- كم,القاهرة,2024-05-20,"3,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/15/6468231/medium_up_54c2ed8bf9eaa3af5e894863475256b3.jpg
مرسيدس E 200 2023,E 200,أسود,- كم,مدينة الشيخ زايد,2024-05-20,"4,585,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/15/6468033/medium_up_c886ef35a14b688a87956db0738b5406.jpg
مرسيدس C 250 2012,C 250,أبيض,"151,000 كم",مصر الجديدة,2024-05-20,"1,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/26/6308186/medium_up_d00c790150ad70f7c47810bd639bac7d.jpg
مرسيدس C 250 2010,C 250,رمادي,"165,000 كم",مصر الجديدة,2024-05-20,"1,255,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/03/6323090/medium_up_9a532d3ba1059247e39bb3018abab15c.jpg
مرسيدس C 180 2020,C 180,أبيض,"14,000 كم",مصر الجديدة,2024-05-20,"2,350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/14/6466329/medium_up_d0d8eef5ee91d836c526925877dba819.jpg
مرسيدس C 200 2008,C 200,بترولي,"290,000 كم",الجيزة,2024-05-20,"850,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6464299/medium_up_aabe9594260c78754e74df4daf018947.jpg
مرسيدس C 180 2023,C 180,أبيض,"28,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"2,949,999 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/14/6466492/medium_up_ccaac4248f48c851696f18773d108922.jpg
مرسيدس 200 2021,200,احمر,"60,000 كم",مدينة نصر,2024-05-20,"2,450,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6465177/medium_up_9ea6adde5c73a36ee39871820b4c18cf.jpg
